date,game_time,away_team,home_team,fav,spread,total,team,opp,home_away,position,player,status
2025-11-21,7:00 PM ET,IND,CLE,CLE,14.0,240.0,IND,CLE,A,PG,Andrew Nembhard,
2025-11-21,7:00 PM ET,IND,CLE,CLE,14.0,240.0,CLE,IND,H,PG,Darius Garland,Q
2025-11-21,7:00 PM ET,IND,CLE,CLE,14.0,240.0,IND,CLE,A,SG,Bennedict Mathurin,
2025-11-21,7:00 PM ET,IND,CLE,CLE,14.0,240.0,CLE,IND,H,SG,Donovan Mitchell,
2025-11-21,7:00 PM ET,IND,CLE,CLE,14.0,240.0,IND,CLE,A,SF,Ben Sheppard,
2025-11-21,7:00 PM ET,IND,CLE,CLE,14.0,240.0,CLE,IND,H,SF,De'Andre Hunter,
2025-11-21,7:00 PM ET,IND,CLE,CLE,14.0,240.0,IND,CLE,A,PF,Pascal Siakam,
2025-11-21,7:00 PM ET,IND,CLE,CLE,14.0,240.0,CLE,IND,H,PF,Evan Mobley,
2025-11-21,7:00 PM ET,IND,CLE,CLE,14.0,240.0,IND,CLE,A,C,Isaiah Jackson,
2025-11-21,7:00 PM ET,IND,CLE,CLE,14.0,240.0,CLE,IND,H,C,Jarrett Allen,Q
2025-11-21,7:30 PM ET,WAS,TOR,TOR,14.0,240.0,WAS,TOR,A,PG,C.J. McCollum,
2025-11-21,7:30 PM ET,WAS,TOR,TOR,14.0,240.0,TOR,WAS,H,PG,Immanuel Quickley,
2025-11-21,7:30 PM ET,WAS,TOR,TOR,14.0,240.0,WAS,TOR,A,SG,Bilal Coulibaly,
2025-11-21,7:30 PM ET,WAS,TOR,TOR,14.0,240.0,TOR,WAS,H,SG,R.J. Barrett,
2025-11-21,7:30 PM ET,WAS,TOR,TOR,14.0,240.0,WAS,TOR,A,SF,Khris Middleton Off Inj,
2025-11-21,7:30 PM ET,WAS,TOR,TOR,14.0,240.0,TOR,WAS,H,SF,Brandon Ingram,
2025-11-21,7:30 PM ET,WAS,TOR,TOR,14.0,240.0,WAS,TOR,A,PF,Kyshawn George,
2025-11-21,7:30 PM ET,WAS,TOR,TOR,14.0,240.0,TOR,WAS,H,PF,Scottie Barnes,
2025-11-21,7:30 PM ET,WAS,TOR,TOR,14.0,240.0,WAS,TOR,A,C,Alexandre Sarr,Q
2025-11-21,7:30 PM ET,WAS,TOR,TOR,14.0,240.0,TOR,WAS,H,C,Jakob Poeltl,
2025-11-21,7:30 PM ET,BKN,BOS,BOS,15.0,222.0,BKN,BOS,A,PG,Egor Demin,
2025-11-21,7:30 PM ET,BKN,BOS,BOS,15.0,222.0,BOS,BKN,H,PG,Derrick White,
2025-11-21,7:30 PM ET,BKN,BOS,BOS,15.0,222.0,BKN,BOS,A,SG,Terance Mann,
2025-11-21,7:30 PM ET,BKN,BOS,BOS,15.0,222.0,BOS,BKN,H,SG,Payton Pritchard,
2025-11-21,7:30 PM ET,BKN,BOS,BOS,15.0,222.0,BKN,BOS,A,SF,Michael Porter Jr.,
2025-11-21,7:30 PM ET,BKN,BOS,BOS,15.0,222.0,BOS,BKN,H,SF,Jaylen Brown,
2025-11-21,7:30 PM ET,BKN,BOS,BOS,15.0,222.0,BKN,BOS,A,PF,Noah Clowney,
2025-11-21,7:30 PM ET,BKN,BOS,BOS,15.0,222.0,BOS,BKN,H,PF,Jordan Walsh,
2025-11-21,7:30 PM ET,BKN,BOS,BOS,15.0,222.0,BKN,BOS,A,C,Nicolas Claxton,
2025-11-21,7:30 PM ET,BKN,BOS,BOS,15.0,222.0,BOS,BKN,H,C,Neemias Queta,
2025-11-21,8:00 PM ET,MIA,CHI,CHI,2.5,250.0,MIA,CHI,A,PG,Davion Mitchell,
2025-11-21,8:00 PM ET,MIA,CHI,CHI,2.5,250.0,CHI,MIA,H,PG,Josh Giddey,
2025-11-21,8:00 PM ET,MIA,CHI,CHI,2.5,250.0,MIA,CHI,A,SG,Norman Powell,
2025-11-21,8:00 PM ET,MIA,CHI,CHI,2.5,250.0,CHI,MIA,H,SG,Kevin Huerter,
2025-11-21,8:00 PM ET,MIA,CHI,CHI,2.5,250.0,MIA,CHI,A,SF,Pelle Larsson,
2025-11-21,8:00 PM ET,MIA,CHI,CHI,2.5,250.0,CHI,MIA,H,SF,Isaac Okoro,
2025-11-21,8:00 PM ET,MIA,CHI,CHI,2.5,250.0,MIA,CHI,A,PF,Jaime Jaquez Jr.,
2025-11-21,8:00 PM ET,MIA,CHI,CHI,2.5,250.0,CHI,MIA,H,PF,Matas Buzelis,
2025-11-21,8:00 PM ET,MIA,CHI,CHI,2.5,250.0,MIA,CHI,A,C,Bam Adebayo,
2025-11-21,8:00 PM ET,MIA,CHI,CHI,2.5,250.0,CHI,MIA,H,C,Nikola Vucevic,
2025-11-21,8:30 PM ET,NOR,DAL,DAL,4.0,234.0,NOR,DAL,A,PG,Jeremiah Fears,
2025-11-21,8:30 PM ET,NOR,DAL,DAL,4.0,234.0,DAL,NOR,H,PG,Brandon Williams,
2025-11-21,8:30 PM ET,NOR,DAL,DAL,4.0,234.0,NOR,DAL,A,SG,Herb Jones,
2025-11-21,8:30 PM ET,NOR,DAL,DAL,4.0,234.0,DAL,NOR,H,SG,Max Christie,
2025-11-21,8:30 PM ET,NOR,DAL,DAL,4.0,234.0,NOR,DAL,A,SF,Trey Murphy,
2025-11-21,8:30 PM ET,NOR,DAL,DAL,4.0,234.0,DAL,NOR,H,SF,Cooper Flagg,IN
2025-11-21,8:30 PM ET,NOR,DAL,DAL,4.0,234.0,NOR,DAL,A,PF,Zion Williamson Off Inj,
2025-11-21,8:30 PM ET,NOR,DAL,DAL,4.0,234.0,DAL,NOR,H,PF,PJ Washington,
2025-11-21,8:30 PM ET,NOR,DAL,DAL,4.0,234.0,NOR,DAL,A,C,Derik Queen,
2025-11-21,8:30 PM ET,NOR,DAL,DAL,4.0,234.0,DAL,NOR,H,C,Dereck Lively II Off Inj,
2025-11-21,9:00 PM ET,MIN,PHO,MIN,4.5,231.5,MIN,PHO,A,PG,Donte DiVincenzo,
2025-11-21,9:00 PM ET,MIN,PHO,MIN,4.5,231.5,PHO,MIN,H,PG,Devin Booker,
2025-11-21,9:00 PM ET,MIN,PHO,MIN,4.5,231.5,MIN,PHO,A,SG,Anthony Edwards,
2025-11-21,9:00 PM ET,MIN,PHO,MIN,4.5,231.5,PHO,MIN,H,SG,Dillon Brooks,
2025-11-21,9:00 PM ET,MIN,PHO,MIN,4.5,231.5,MIN,PHO,A,SF,Jaden McDaniels,Q
2025-11-21,9:00 PM ET,MIN,PHO,MIN,4.5,231.5,PHO,MIN,H,SF,Royce O'Neale,
2025-11-21,9:00 PM ET,MIN,PHO,MIN,4.5,231.5,MIN,PHO,A,PF,Julius Randle,
2025-11-21,9:00 PM ET,MIN,PHO,MIN,4.5,231.5,PHO,MIN,H,PF,Ryan Dunn,
2025-11-21,9:00 PM ET,MIN,PHO,MIN,4.5,231.5,MIN,PHO,A,C,Rudy Gobert,
2025-11-21,9:00 PM ET,MIN,PHO,MIN,4.5,231.5,PHO,MIN,H,C,Mark Williams,
2025-11-21,9:30 PM ET,DEN,HOU,HOU,2.5,235.0,DEN,HOU,A,PG,Jamal Murray,
2025-11-21,9:30 PM ET,DEN,HOU,HOU,2.5,235.0,HOU,DEN,H,PG,Amen Thompson,
2025-11-21,9:30 PM ET,DEN,HOU,HOU,2.5,235.0,DEN,HOU,A,SG,Cam Johnson,
2025-11-21,9:30 PM ET,DEN,HOU,HOU,2.5,235.0,HOU,DEN,H,SG,Kevin Durant,
2025-11-21,9:30 PM ET,DEN,HOU,HOU,2.5,235.0,DEN,HOU,A,SF,Peyton Watson,
2025-11-21,9:30 PM ET,DEN,HOU,HOU,2.5,235.0,HOU,DEN,H,SF,Jabari Smith Jr.,Q
2025-11-21,9:30 PM ET,DEN,HOU,HOU,2.5,235.0,DEN,HOU,A,PF,Aaron Gordon,P
2025-11-21,9:30 PM ET,DEN,HOU,HOU,2.5,235.0,HOU,DEN,H,PF,Alperen Sengun,
2025-11-21,9:30 PM ET,DEN,HOU,HOU,2.5,235.0,DEN,HOU,A,C,Nikola Jokic,
2025-11-21,9:30 PM ET,DEN,HOU,HOU,2.5,235.0,HOU,DEN,H,C,Steven Adams,Q
2025-11-21,10:00 PM ET,POR,GSW,GSW,8.0,237.5,POR,GSW,A,PG,Jrue Holiday,Q
2025-11-21,10:00 PM ET,POR,GSW,GSW,8.0,237.5,GSW,POR,H,PG,Stephen Curry Off Inj,
2025-11-21,10:00 PM ET,POR,GSW,GSW,8.0,237.5,POR,GSW,A,SG,Shaedon Sharpe,Q
2025-11-21,10:00 PM ET,POR,GSW,GSW,8.0,237.5,GSW,POR,H,SG,Will Richard,
2025-11-21,10:00 PM ET,POR,GSW,GSW,8.0,237.5,POR,GSW,A,SF,Deni Avdija,
2025-11-21,10:00 PM ET,POR,GSW,GSW,8.0,237.5,GSW,POR,H,SF,Moses Moody,
2025-11-21,10:00 PM ET,POR,GSW,GSW,8.0,237.5,POR,GSW,A,PF,Toumani Camara,
