date_local,time_local,away,home,network,spread,over_under,ml_home,ml_away,game_id
2025-11-28,10:00 PM,DAL,LAL,Prime Video,LAL -9.5,O/U 230.5,-425,320,401809820
2025-11-28,10:00 PM,MEM,LAC,"FanDuel SN SE, FanDuel SN SoCal",LAC -6.5,O/U 226.5,-250,210,401809821
2025-11-28,7:30 PM,CHI,CHA,"FanDuel SN SE, CHSN",CHI -2.5,O/U 247.5,110,-130,401809813
2025-11-28,7:30 PM,CLE,ATL,"FanDuel SN SE, FanDuel SN OH",CLE -6.5,O/U 240.5,180,-215,401809811
2025-11-28,7:30 PM,MIL,NY,Prime Video,NY -7.5,O/U 234.5,-290,240,401809816
2025-11-28,7:30 PM,ORL,DET,"FanDuel SN DET, FanDuel SN FL",DET -3.5,O/U 233.5,-150,130,401809814
2025-11-28,7:30 PM,PHI,BKN,"YES, NBC Sports Phil",PHI -7.5,O/U 226.5,225,-275,401809812
2025-11-28,7:30 PM,WSH,IND,"MNMT, FanDuel SN IN",IND -6.5,O/U 240.5,-275,225,401809815
2025-11-28,9:30 PM,PHX,OKC,"FanDuel SN OK, Arizona's Family 3TV",OKC -15.5,O/U 227.5,-1000,600,401809817
2025-11-28,9:30 PM,SA,DEN,"Altitude Sports, KENS 5",DEN -8.5,O/U 236.5,-360,280,401809818
2025-11-28,9:30 PM,SAC,UTAH,"KJZZ-TV, NBC Sports CA",UTAH -1.5,O/U 239.5,-120,100,401809819
