player,team,position,opponent,stat,opp_dvp_value,tier,edge_score,,,,
Reed Sheppard,HOU,PG,UTA,AST,9,WORST,1,,,,
Reed Sheppard,HOU,PG,UTA,PRA,41.7,WORST,1,,,,
Keyonte George,UTA,PG,HOU,AST,7.6,BEST,-1,,,,
Keyonte George,UTA,PG,HOU,PRA,36.2,BEST,-1,,,,
Amen Thompson,HOU,SG,UTA,PTS,28.1,WORST,1,,,,
Amen Thompson,HOU,SG,UTA,PRA,40.4,WORST,1,,,,
Svi Mykhailiuk,UTA,SG,HOU,PTS,20.7,BEST,-1,,,,
Svi Mykhailiuk,UTA,SG,HOU,REB,5.6,BEST,-1,,,,
Svi Mykhailiuk,UTA,SG,HOU,PRA,31.4,BEST,-1,,,,
Kevin Durant Off Inj,HOU,SF,UTA,REB,6.6,BEST,-1,,,,
Kevin Durant Off Inj,HOU,SF,UTA,AST,5.9,WORST,1,,,,
Jabari Smith Jr.,HOU,PF,UTA,AST,5.3,WORST,1,,,,
Lauri Markkanen,UTA,PF,HOU,PTS,20.6,BEST,-1,u25.5,-122,,0.92
Lauri Markkanen,UTA,PF,HOU,REB,8.8,BEST,-1,,,,
Lauri Markkanen,UTA,PF,HOU,AST,3.4,BEST,-1,,,,
Lauri Markkanen,UTA,PF,HOU,PRA,32.8,BEST,-1,u34.5,-115,,
Alperen Sengun,HOU,C,UTA,REB,12.9,BEST,-1,u9.5,-122,,1
Alperen Sengun,HOU,C,UTA,AST,3.2,BEST,-1,,,,
Jusuf Nurkic,UTA,C,HOU,REB,11.3,BEST,-1,,,,
Jusuf Nurkic,UTA,C,HOU,AST,3.2,BEST,-1,,,,
Jusuf Nurkic,UTA,C,HOU,PRA,35.1,BEST,-1,,,,
Derrick White,BOS,PG,CLE,REB,5.3,BEST,-1,,,,
Darius Garland Off Inj,CLE,PG,BOS,PTS,20.2,BEST,-1,u16.5,-120,,0.75
Darius Garland Off Inj,CLE,PG,BOS,REB,5.5,BEST,-1,,,,
Darius Garland Off Inj,CLE,PG,BOS,PRA,34,BEST,-1,,,,
Payton Pritchard,BOS,SG,CLE,PTS,21.6,BEST,-1,,,,
Payton Pritchard,BOS,SG,CLE,AST,4.9,BEST,-1,u4.5,-140,,
Payton Pritchard,BOS,SG,CLE,PRA,32.3,BEST,-1,,,,
Donovan Mitchell,CLE,SG,BOS,REB,7.3,WORST,1,o4.5,108,,1
Jaylen Brown,BOS,SF,CLE,PTS,25.1,WORST,1,o27.5,-110,,
Jaylen Brown,BOS,SF,CLE,REB,8.9,WORST,1,o5.5,-140,,
Jaylen Brown,BOS,SF,CLE,AST,5.1,WORST,1,o4.5,-122,,
Jaylen Brown,BOS,SF,CLE,PRA,39.1,WORST,1,o33.5 PR,-113,,1.25
Jaylon Tyson,CLE,SF,BOS,AST,3.3,BEST,-1,,,,
Jordan Walsh,BOS,PF,CLE,PTS,26.2,WORST,1,,,,
Jordan Walsh,BOS,PF,CLE,REB,12.5,WORST,1,o4.5,-125,,0.625
Jordan Walsh,BOS,PF,CLE,PRA,43.3,WORST,1,,,,
De'Andre Hunter,CLE,PF,BOS,AST,3.4,BEST,-1,,,,
Miles McBride,NYK,SG,TOR,PTS,22,BEST,-1,,,,
Miles McBride,NYK,SG,TOR,PRA,33.4,BEST,-1,,,,
Mikal Bridges,NYK,SF,TOR,AST,3.6,BEST,-1,,,,
Nickeil Alexander-Walker,ATL,PG,PHI,PTS,20.8,BEST,-1,,,,
Nickeil Alexander-Walker,ATL,PG,PHI,PRA,35.4,BEST,-1,,,,
Dyson Daniels,ATL,SG,PHI,PTS,26.2,WORST,1,,,,
Dyson Daniels,ATL,SG,PHI,AST,5.9,WORST,1,,,,
Dyson Daniels,ATL,SG,PHI,PRA,38.2,WORST,1,o25.5,-115,,1
VJ Edgecombe,PHI,SG,ATL,PTS,26.1,WORST,1,,,,
VJ Edgecombe,PHI,SG,ATL,PRA,37.9,WORST,1,,,,
Zaccharie Risacher,ATL,SF,PHI,REB,8.8,WORST,1,,,alt 2+,
Onyeka Okongwu,ATL,C,PHI,AST,2.3,BEST,-1,,,,
Shai Gilgeous-Alexander,OKC,PG,POR,AST,7,BEST,-1,,,,
Deni Avdija,POR,PG,OKC,PTS,20.2,BEST,-1,,,,
Deni Avdija,POR,PG,OKC,AST,6.9,BEST,-1,,,,
Deni Avdija,POR,PG,OKC,PRA,33.4,BEST,-1,,,,
Sidy Cissoko,POR,SG,OKC,AST,4.1,BEST,-1,,,,
Luguentz Dort,OKC,SF,POR,REB,9.7,WORST,1,,,,
Toumani Camara,POR,SF,OKC,PTS,20.3,BEST,-1,,,,
Jerami Grant,POR,PF,OKC,PTS,20.4,BEST,-1,,,,
Chet Holmgren,OKC,C,POR,PTS,23.7,WORST,1,o17.5,-125,,1.25
Donovan Clingan,POR,C,OKC,PTS,18.8,BEST,-1,,,,
Donovan Clingan,POR,C,OKC,REB,12.9,BEST,-1,,,,
Donovan Clingan,POR,C,OKC,PRA,34.9,BEST,-1,,,,
De'Aaron Fox,SAS,PG,MIN,REB,7.6,WORST,1,o3.5,-121,,0.69
Devin Vassell,SAS,SG,MIN,REB,5.3,BEST,-1,,,,
Devin Vassell,SAS,SG,MIN,PRA,33.4,BEST,-1,,,,
Harrison Barnes,SAS,PF,MIN,AST,3.3,BEST,-1,,,,
Russell Westbrook,SAC,PG,MEM,PTS,28,WORST,1,,,,
Russell Westbrook,SAC,PG,MEM,AST,7.4,BEST,-1,,,,
Russell Westbrook,SAC,PG,MEM,PRA,41.8,WORST,1,o29.5,-115,,0.69
Jaylen Wells,MEM,SG,SAC,PTS,26.3,WORST,1,o12.5,-119,,1
Jaylen Wells,MEM,SG,SAC,REB,7.2,WORST,1,,,,
Jaylen Wells,MEM,SG,SAC,AST,7.4,WORST,1,o1.5,-145,alt 1+,
Jaylen Wells,MEM,SG,SAC,PRA,40.9,WORST,1,,,,
Cedric Coward,MEM,SF,SAC,PTS,20.2,BEST,-1,u13.5,-125,,1
Cedric Coward,MEM,SF,SAC,AST,2.9,BEST,-1,,,,
Cedric Coward,MEM,SF,SAC,PRA,30.7,BEST,-1,,,,
DeMar DeRozan,SAC,SF,MEM,PTS,24.1,WORST,1,,,,
DeMar DeRozan,SAC,SF,MEM,AST,5.1,WORST,1,,,alt 2+,
Keegan Murray,SAC,PF,MEM,PTS,19.2,BEST,-1,,,,
Keegan Murray,SAC,PF,MEM,PRA,34,BEST,-1,,,,
Zach Edey,MEM,C,SAC,PTS,26.2,WORST,1,,,,
Zach Edey,MEM,C,SAC,REB,16.3,WORST,1,o11.5,-103,,1
Zach Edey,MEM,C,SAC,AST,4.9,WORST,1,,,,
Zach Edey,MEM,C,SAC,PRA,47.4,WORST,1,,,,
Drew Eubanks,SAC,C,MEM,AST,5.2,WORST,1,,,,
Jeremiah Fears,NOR,PG,LAL,REB,4.8,BEST,-1,,,,
Jeremiah Fears,NOR,PG,LAL,AST,9.2,WORST,1,,,,
Trey Murphy,NOR,SF,LAL,PTS,26,WORST,1,,,,
Trey Murphy,NOR,SF,LAL,AST,3.6,BEST,-1,,,,
Saddiq Bey,NOR,PF,LAL,REB,9.2,BEST,-1,,,,
Saddiq Bey,NOR,PF,LAL,AST,4.8,WORST,1,o2.5,110,,**
Derik Queen,NOR,C,LAL,PTS,14.8,BEST,-1,u12.5,-112,,**
Derik Queen,NOR,C,LAL,REB,12.7,BEST,-1,u6.5,-107,,**
Derik Queen,NOR,C,LAL,PRA,31.5,BEST,-1,u22.5,-105,,**
