player,team,position,opponent,stat,opp_dvp_value,tier,edge_score,,,,,,
Bub Carrington,WAS,PG,PHI,PTS,20.7,BEST,-1,u7.5,101,60%,,,
Bub Carrington,WAS,PG,PHI,PRA,35.5,BEST,-1,u15.5,-125,70%,1,0.8,
,,,,,,,,u15.5,100,70%,0.5,0.5,
Tyrese Maxey,PHI,PG,WAS,PTS,27.3,WORST,1,,,,,,
Tyrese Maxey,PHI,PG,WAS,AST,9.1,WORST,1,,,,,,
Tyrese Maxey,PHI,PG,WAS,PRA,43.2,WORST,1,,,,,,
C.J. McCollum,WAS,SG,PHI,PTS,26,WORST,1,,,,,,
C.J. McCollum,WAS,SG,PHI,AST,6,WORST,1,,,,,,
C.J. McCollum,WAS,SG,PHI,PRA,38.2,WORST,1,,,,,,
Paul George,PHI,SF,WAS,PTS,24,WORST,1,,,,,,
Paul George,PHI,SF,WAS,REB,8.9,WORST,1,o4.5,-105,60%,,,
Paul George,PHI,SF,WAS,PRA,37.4,WORST,1,,,,,,
Dominick Barlow,PHI,PF,WAS,PTS,26.8,WORST,1,,,,,,
Dominick Barlow,PHI,PF,WAS,REB,13.1,WORST,1,,,,,,
Dominick Barlow,PHI,PF,WAS,AST,5.1,WORST,1,,,,,,
Dominick Barlow,PHI,PF,WAS,PRA,45,WORST,1,,,,,,
Marvin Bagley,WAS,C,PHI,AST,2.6,BEST,-1,u1.5,115,83%,1,1.15,
Andre Drummond,PHI,C,WAS,PTS,25.7,WORST,1,o8.5,-107,60%,,,
Andre Drummond,PHI,C,WAS,REB,17,WORST,1,o10.5,101,70%,1,1.01,
Andre Drummond,PHI,C,WAS,AST,4.9,WORST,1,o0.5,-115,50%,,,
Andre Drummond,PHI,C,WAS,PRA,47.6,WORST,1,o19.5,-125,60%,,,
Immanuel Quickley,TOR,PG,POR,PTS,26.7,WORST,1,,,,,,
Immanuel Quickley,TOR,PG,POR,AST,7,BEST,-1,o6.5,120,50%,1,1.2,
Sidy Cissoko,POR,SG,TOR,PTS,22.1,BEST,-1,,,,,,
Sidy Cissoko,POR,SG,TOR,PRA,33.4,BEST,-1,,,,,,
Brandon Ingram,TOR,SF,POR,PTS,20.6,BEST,-1,u24.5,-123,70%,1,0.81300813,
Brandon Ingram,TOR,SF,POR,REB,9.8,WORST,1,o5.5,-125,60%,,,
Jakob Poeltl Off Inj,TOR,C,POR,PTS,23.9,WORST,1,,,,,,
De'Aaron Fox,SAS,PG,MEM,PTS,27.5,WORST,1,o24.5,-108,60%,1,,
De'Aaron Fox,SAS,PG,MEM,AST,7.6,BEST,-1,,,,,,
De'Aaron Fox,SAS,PG,MEM,PRA,41.7,WORST,1,,,,,,
Julian Champagnie,SAS,SF,MEM,PTS,24.3,WORST,1,,,,,,5+
Julian Champagnie,SAS,SF,MEM,AST,5.1,WORST,1,,,,,,
Harrison Barnes,SAS,PF,MEM,PTS,19.1,BEST,-1,u12.5,-110,60%,,,
Harrison Barnes,SAS,PF,MEM,PRA,33.6,BEST,-1,u18.5,-106,70%,1,0.943396226,
Luke Kornet,SAS,C,MEM,AST,5.2,WORST,1,,,,,,
Jeremiah Fears,NOR,PG,MIN,REB,7.3,WORST,1,o3.5,134,60%,0.75,1.005,
Trey Murphy,NOR,SG,MIN,REB,5.1,BEST,-1,u5.5,-133,75%,1.25,0.939849624,
Trey Murphy,NOR,SG,MIN,PRA,33.4,BEST,-1,u28.5,-117,63%,,,
Zion Williamson Off Inj,NOR,PF,MIN,AST,3.2,BEST,-1,u3.5,124,60%,,,
Jalen Brunson,NYK,PG,BOS,PTS,20.6,BEST,-1,,,,,,
Jalen Brunson,NYK,PG,BOS,REB,5.6,BEST,-1,,,,,,
Jalen Brunson,NYK,PG,BOS,PRA,34.7,BEST,-1,,,,,,
Miles McBride,NYK,SG,BOS,REB,7.3,WORST,1,,,,,,
Mikal Bridges,NYK,SF,BOS,AST,3.2,BEST,-1,u3.5,-130,50%,,,
Josh Hart,NYK,PF,BOS,AST,3.4,BEST,-1,,,,,,
Brandin Podziemski,GSW,PG,OKC,PTS,20.2,BEST,-1,,,,,,
Brandin Podziemski,GSW,PG,OKC,AST,6.9,BEST,-1,u3.5,-125,80%,1.25,1,
Brandin Podziemski,GSW,PG,OKC,PRA,33.4,BEST,-1,u22.5,-115,60%,,,
Moses Moody,GSW,SG,OKC,AST,4.1,BEST,-1,u1.5,-135,70%,,,
Draymond Green,GSW,PF,OKC,PTS,20.5,BEST,-1,u9.5,-125,63%,,,
Quinten Post,GSW,C,OKC,PTS,18.6,BEST,-1,,,,,,
Quinten Post,GSW,C,OKC,AST,3.2,BEST,-1,,,,,,
Quinten Post,GSW,C,OKC,PRA,34.9,BEST,-1,u14.5,-120,70%,1,0.833333333,
