rank,player,team,games,games_started,mpg,fg,fga,fg_pct,fg3,fg3a,fg3_pct,ft,fta,ft_pct,orb,drb,reb,ast,stl,blk,tov,pf,pts,game_score,pr,pa,pra
1,Luka Dončić,LAL,4.0,4.0,36.3,12.0,23.5,0.511,4.5,10.3,0.439,9.0,10.3,0.878,1.0,8.3,9.3,9.0,0.5,0.8,4.5,2.5,37.5,30.4,46.8,46.5,55.8
2,Shai Gilgeous-Alexander,OKC,4.0,4.0,36.0,10.8,18.8,0.573,2.3,4.0,0.563,11.5,14.0,0.821,0.3,3.8,4.0,5.8,1.5,0.0,1.3,2.5,35.3,30.0,39.3,41.1,45.1
3,Anthony Edwards,MIN,5.0,5.0,40.2,13.2,24.0,0.55,5.0,10.2,0.49,6.4,8.2,0.78,0.8,4.2,5.0,4.8,0.6,0.6,3.2,2.4,37.8,27.6,42.8,42.6,47.6
4,Nikola Jokić,DEN,5.0,5.0,34.7,7.6,13.4,0.567,2.0,4.2,0.476,6.2,7.2,0.861,2.2,9.0,11.2,12.4,0.8,0.8,3.6,2.2,23.4,26.5,34.6,35.8,47.0
5,Austin Reaves,LAL,4.0,4.0,37.3,9.5,14.5,0.655,3.8,6.5,0.577,6.8,7.3,0.931,1.0,5.5,6.5,4.3,1.0,0.3,3.0,2.0,29.5,25.7,36.0,33.8,40.3
6,Jamal Murray,DEN,5.0,5.0,34.5,10.8,18.4,0.587,5.6,8.2,0.683,3.2,3.8,0.842,0.4,3.6,4.0,6.4,0.6,0.2,2.4,1.6,30.4,25.1,34.4,36.8,40.8
7,Deni Avdija,POR,5.0,5.0,36.3,7.0,14.2,0.493,2.8,6.2,0.452,11.6,15.4,0.753,1.0,8.0,9.0,8.8,0.4,0.4,3.8,2.8,28.4,24.8,37.4,37.2,46.2
8,Jaylen Brown,BOS,4.0,4.0,37.8,12.0,25.3,0.475,2.5,7.0,0.357,7.3,9.3,0.784,1.5,6.5,8.0,6.8,2.3,0.8,4.8,3.3,33.8,24.5,41.8,40.6,48.6
9,Tyrese Maxey,PHI,4.0,4.0,38.7,10.3,22.0,0.466,2.3,8.8,0.257,7.5,8.5,0.882,0.0,5.3,5.3,6.5,1.5,0.8,2.0,2.0,30.3,23.9,35.6,36.8,42.1
10,Jalen Johnson,ATL,4.0,4.0,37.9,7.8,17.0,0.456,2.8,6.8,0.407,8.3,10.8,0.767,2.0,9.5,11.5,8.3,1.0,0.8,4.5,2.5,26.5,22.8,38.0,34.8,46.3
11,Kevin Durant,HOU,3.0,3.0,34.0,9.7,18.3,0.527,2.0,5.0,0.4,5.7,6.3,0.895,0.3,6.0,6.3,5.7,1.0,0.7,2.0,2.0,27.0,22.4,33.3,32.7,39.0
12,Alex Sarr,WAS,2.0,2.0,35.2,9.5,17.0,0.559,1.0,3.0,0.333,5.5,10.0,0.55,2.5,7.5,10.0,0.5,2.0,2.0,1.0,1.5,25.5,21.8,35.5,26.0,36.0
13,Cade Cunningham,DET,6.0,6.0,37.3,9.8,20.8,0.472,1.7,5.7,0.294,6.8,8.2,0.837,2.2,6.3,8.5,7.5,1.7,0.8,5.2,2.7,28.2,21.7,36.7,35.7,44.2
14,Kawhi Leonard,LAC,5.0,5.0,30.2,10.0,20.0,0.5,2.2,5.8,0.379,6.8,7.0,0.971,0.6,5.2,5.8,2.6,1.4,0.0,2.0,1.4,29.0,21.6,34.8,31.6,37.4
15,Alperen Şengün,HOU,5.0,5.0,33.1,9.6,17.2,0.558,0.6,2.6,0.231,4.2,5.8,0.724,2.6,4.0,6.6,6.6,1.6,1.2,2.6,3.4,24.0,21.3,30.6,30.6,37.2
16,Karl-Anthony Towns,NYK,6.0,6.0,34.1,9.2,16.3,0.561,1.7,4.2,0.4,5.2,5.8,0.886,3.3,7.5,10.8,3.2,0.5,0.7,2.5,2.7,25.2,21.3,36.0,28.4,39.2
17,Donovan Mitchell,CLE,5.0,5.0,35.3,11.2,23.4,0.479,4.0,11.4,0.351,4.2,4.8,0.875,1.0,4.0,5.0,6.0,1.2,0.0,3.6,2.8,30.6,21.0,35.6,36.6,41.6
