date,game,player,stat,line,direction,odds,book,is_best
2025-12-04,Boston Celtics @ Washington Wizards,Justin Champagnie,PTS,8.5,Over,-106,DraftKings,True
2025-12-04,Boston Celtics @ Washington Wizards,Justin Champagnie,PTS,8.5,Under,-118,BetMGM,True
2025-12-04,Boston Celtics @ Washington Wizards,Payton Pritchard,PTS,22.5,Over,105,BetMGM,True
2025-12-04,Boston Celtics @ Washington Wizards,Payton Pritchard,PTS,22.5,Under,-112,BetRivers,True
2025-12-04,Boston Celtics @ Washington Wizards,Marvin Bagley III,PTS,12.5,Over,-114,FanDuel,True
2025-12-04,Boston Celtics @ Washington Wizards,Marvin Bagley III,PTS,12.5,Under,-107,DraftKings,True
2025-12-04,Boston Celtics @ Washington Wizards,Cam Whitmore,PTS,10.5,Over,-117,BetRivers,True
2025-12-04,Boston Celtics @ Washington Wizards,Cam Whitmore,PTS,10.5,Under,-101,DraftKings,True
2025-12-04,Boston Celtics @ Washington Wizards,Carlton Carrington,PTS,7.5,Over,-124,DraftKings,True
2025-12-04,Boston Celtics @ Washington Wizards,Carlton Carrington,PTS,7.5,Under,100,FanDuel,True
2025-12-04,Boston Celtics @ Washington Wizards,Josh Minott,PTS,8.5,Over,-106,FanDuel,True
2025-12-04,Boston Celtics @ Washington Wizards,Josh Minott,PTS,8.5,Under,-125,FanDuel,True
2025-12-04,Boston Celtics @ Washington Wizards,Kyshawn George,PTS,14.5,Over,-111,DraftKings,True
2025-12-04,Boston Celtics @ Washington Wizards,Kyshawn George,PTS,14.5,Under,-110,BetRivers,True
2025-12-04,Boston Celtics @ Washington Wizards,Sam Hauser,PTS,10.5,Over,-115,BetMGM,True
2025-12-04,Boston Celtics @ Washington Wizards,Sam Hauser,PTS,10.5,Under,102,FanDuel,True
2025-12-04,Boston Celtics @ Washington Wizards,Neemias Queta,PTS,12.5,Over,-105,BetMGM,True
2025-12-04,Boston Celtics @ Washington Wizards,Neemias Queta,PTS,12.5,Under,-101,DraftKings,True
2025-12-04,Boston Celtics @ Washington Wizards,Anfernee Simons,PTS,16.5,Over,-116,DraftKings,True
2025-12-04,Boston Celtics @ Washington Wizards,Anfernee Simons,PTS,16.5,Under,-110,DraftKings,True
2025-12-04,Boston Celtics @ Washington Wizards,Khris Middleton,PTS,11.5,Over,-103,DraftKings,True
2025-12-04,Boston Celtics @ Washington Wizards,Khris Middleton,PTS,11.5,Under,-122,BetRivers,True
2025-12-04,Boston Celtics @ Washington Wizards,Derrick White,PTS,21.5,Over,105,BetMGM,True
2025-12-04,Boston Celtics @ Washington Wizards,Derrick White,PTS,21.5,Under,-117,DraftKings,True
2025-12-04,Boston Celtics @ Washington Wizards,C.J. McCollum,PTS,19.5,Over,-105,BetMGM,True
2025-12-04,Boston Celtics @ Washington Wizards,C.J. McCollum,PTS,19.5,Under,-116,DraftKings,True
2025-12-04,Boston Celtics @ Washington Wizards,Jordan Walsh,PTS,7.5,Over,-115,BetMGM,True
2025-12-04,Boston Celtics @ Washington Wizards,Jordan Walsh,PTS,7.5,Under,100,FanDuel,True
2025-12-04,Boston Celtics @ Washington Wizards,Jordan Walsh,PTS,8.5,Over,114,BetRivers,True
