rank,player,team,position,opponent,stat,direction,recent_avg,mpg,dvp_value,adjusted_dvp,projected,score
1,Scottie Barnes,TOR,PF,LAL,AST,OVER,5.2,36.8,5.1,3.9,4.7,102.0
2,Brandon Ingram,TOR,SF,LAL,PTS,OVER,24.0,36.4,26.2,19.9,22.3,91.6
3,Brandon Ingram,TOR,SF,LAL,PRA,OVER,32.2,36.4,36.9,28.0,30.5,87.3
4,Lauri Markkanen,UTA,PF,BKN,PTS,OVER,23.0,34.8,25.7,18.6,21.3,71.6
5,Lauri Markkanen,UTA,PF,BKN,PRA,OVER,32.1,34.8,41.8,30.3,31.4,61.4
6,Keyonte George,UTA,PG,BKN,AST,OVER,5.8,32.4,9.0,6.1,5.9,51.6
7,Jimmy Butler,GSW,SF,PHI,REB,OVER,5.5,28.4,8.7,5.1,5.4,50.6
8,Lauri Markkanen,UTA,PF,BKN,REB,OVER,7.3,34.8,11.6,8.4,7.7,50.3
1,Justin Champagnie,WAS,SF,BOS,AST,UNDER,1.0,18.0,3.3,1.2,1.1,264.0
2,Sandro Mamukelashvili,TOR,C,LAL,REB,UNDER,5.8,20.5,12.5,5.3,5.6,215.5
3,Bryce McGowens,NOR,SG,MIN,PRA,UNDER,15.6,23.3,32.8,15.9,15.7,210.3
4,Sandro Mamukelashvili,TOR,C,LAL,PRA,UNDER,16.4,20.5,31.6,13.5,15.2,192.7
5,Sandro Mamukelashvili,TOR,C,LAL,PTS,UNDER,9.4,20.5,15.2,6.5,8.2,161.7
6,Bryce McGowens,NOR,SG,MIN,REB,UNDER,3.2,23.3,5.0,2.4,2.9,156.2
7,Brandon Ingram,TOR,SF,LAL,AST,UNDER,2.6,36.4,3.5,2.7,2.6,134.6
8,Brandin Podziemski,GSW,PG,PHI,PRA,UNDER,21.3,26.7,35.4,19.7,20.7,133.0
