date,game,player,stat,line,direction,odds,book,is_best
2025-12-05,Los Angeles Lakers @ Boston Celtics,Deandre Ayton,PTS,17.5,Over,100,FanDuel,True
2025-12-05,Los Angeles Lakers @ Boston Celtics,Deandre Ayton,PTS,17.5,Under,-132,FanDuel,False
2025-12-05,Los Angeles Lakers @ Boston Celtics,Jaylen Brown,PTS,29.5,Over,-102,FanDuel,True
2025-12-05,Los Angeles Lakers @ Boston Celtics,Jaylen Brown,PTS,29.5,Under,-130,FanDuel,True
2025-12-05,Los Angeles Lakers @ Boston Celtics,Anfernee Simons,PTS,12.5,Over,102,FanDuel,True
2025-12-05,Los Angeles Lakers @ Boston Celtics,Anfernee Simons,PTS,12.5,Under,-136,FanDuel,False
2025-12-05,Los Angeles Lakers @ Boston Celtics,Jake LaRavia,PTS,11.5,Over,-130,FanDuel,True
2025-12-05,Los Angeles Lakers @ Boston Celtics,Jake LaRavia,PTS,11.5,Under,-102,FanDuel,True
2025-12-05,Los Angeles Lakers @ Boston Celtics,Neemias Queta,PTS,10.5,Over,-104,FanDuel,False
2025-12-05,Los Angeles Lakers @ Boston Celtics,Neemias Queta,PTS,10.5,Under,-128,FanDuel,True
2025-12-05,Los Angeles Lakers @ Boston Celtics,Dalton Knecht,PTS,7.5,Over,-108,FanDuel,True
2025-12-05,Los Angeles Lakers @ Boston Celtics,Dalton Knecht,PTS,7.5,Under,-122,FanDuel,True
2025-12-05,Los Angeles Lakers @ Boston Celtics,Gabe Vincent,PTS,6.5,Over,104,FanDuel,True
2025-12-05,Los Angeles Lakers @ Boston Celtics,Gabe Vincent,PTS,6.5,Under,-138,FanDuel,False
2025-12-05,Los Angeles Lakers @ Boston Celtics,Jordan Walsh,PTS,6.5,Over,-114,FanDuel,True
2025-12-05,Los Angeles Lakers @ Boston Celtics,Jordan Walsh,PTS,6.5,Under,-114,FanDuel,False
2025-12-05,Los Angeles Lakers @ Boston Celtics,Austin Reaves,PTS,31.5,Over,-130,FanDuel,False
2025-12-05,Los Angeles Lakers @ Boston Celtics,Austin Reaves,PTS,31.5,Under,-102,FanDuel,True
2025-12-05,Los Angeles Lakers @ Boston Celtics,Payton Pritchard,PTS,16.5,Over,-120,FanDuel,False
2025-12-05,Los Angeles Lakers @ Boston Celtics,Payton Pritchard,PTS,16.5,Under,-110,FanDuel,True
2025-12-05,Los Angeles Lakers @ Boston Celtics,Rui Hachimura,PTS,15.5,Over,-108,FanDuel,True
2025-12-05,Los Angeles Lakers @ Boston Celtics,Rui Hachimura,PTS,15.5,Under,-122,FanDuel,False
2025-12-05,Los Angeles Lakers @ Boston Celtics,Sam Hauser,PTS,7.5,Over,104,FanDuel,True
2025-12-05,Los Angeles Lakers @ Boston Celtics,Sam Hauser,PTS,7.5,Under,-138,FanDuel,True
2025-12-05,Los Angeles Lakers @ Boston Celtics,Marcus Smart,PTS,8.5,Over,-120,FanDuel,True
2025-12-05,Los Angeles Lakers @ Boston Celtics,Marcus Smart,PTS,8.5,Under,-110,FanDuel,False
2025-12-05,Los Angeles Lakers @ Boston Celtics,Derrick White,PTS,17.5,Over,100,FanDuel,True
2025-12-05,Los Angeles Lakers @ Boston Celtics,Derrick White,PTS,17.5,Under,-132,FanDuel,False
2025-12-05,Los Angeles Lakers @ Boston Celtics,Austin Reaves,PTS,31.5,Over,-115,DraftKings,True
2025-12-05,Los Angeles Lakers @ Boston Celtics,Austin Reaves,PTS,31.5,Under,-111,DraftKings,False
2025-12-05,Los Angeles Lakers @ Boston Celtics,Jaylen Brown,PTS,28.5,Over,-120,DraftKings,True
2025-12-05,Los Angeles Lakers @ Boston Celtics,Jaylen Brown,PTS,28.5,Under,-106,DraftKings,True
2025-12-05,Los Angeles Lakers @ Boston Celtics,Deandre Ayton,PTS,17.5,Over,-111,DraftKings,False
2025-12-05,Los Angeles Lakers @ Boston Celtics,Deandre Ayton,PTS,17.5,Under,-115,DraftKings,True
2025-12-05,Los Angeles Lakers @ Boston Celtics,Derrick White,PTS,17.5,Over,-104,DraftKings,False
2025-12-05,Los Angeles Lakers @ Boston Celtics,Derrick White,PTS,17.5,Under,-122,DraftKings,True
2025-12-05,Los Angeles Lakers @ Boston Celtics,Payton Pritchard,PTS,16.5,Over,-109,DraftKings,True
2025-12-05,Los Angeles Lakers @ Boston Celtics,Payton Pritchard,PTS,16.5,Under,-117,DraftKings,False
2025-12-05,Los Angeles Lakers @ Boston Celtics,Rui Hachimura,PTS,15.5,Over,-110,DraftKings,False
2025-12-05,Los Angeles Lakers @ Boston Celtics,Rui Hachimura,PTS,15.5,Under,-116,DraftKings,True
2025-12-05,Los Angeles Lakers @ Boston Celtics,Anfernee Simons,PTS,12.5,Over,-107,DraftKings,False
2025-12-05,Los Angeles Lakers @ Boston Celtics,Anfernee Simons,PTS,12.5,Under,-119,DraftKings,True
2025-12-05,Los Angeles Lakers @ Boston Celtics,Neemias Queta,PTS,10.5,Over,102,DraftKings,True
2025-12-05,Los Angeles Lakers @ Boston Celtics,Neemias Queta,PTS,10.5,Under,-130,DraftKings,False
2025-12-05,Los Angeles Lakers @ Boston Celtics,Marcus Smart,PTS,8.5,Over,-123,DraftKings,False
2025-12-05,Los Angeles Lakers @ Boston Celtics,Marcus Smart,PTS,8.5,Under,-104,DraftKings,True
2025-12-05,Los Angeles Lakers @ Boston Celtics,Jordan Walsh,PTS,6.5,Over,-120,DraftKings,False
2025-12-05,Los Angeles Lakers @ Boston Celtics,Jordan Walsh,PTS,6.5,Under,-106,DraftKings,True
2025-12-05,Los Angeles Lakers @ Boston Celtics,Gabe Vincent,PTS,6.5,Over,104,DraftKings,False
2025-12-05,Los Angeles Lakers @ Boston Celtics,Gabe Vincent,PTS,6.5,Under,-132,DraftKings,True
2025-12-05,Los Angeles Lakers @ Boston Celtics,Austin Reaves,REB,5.5,Over,-125,FanDuel,False
2025-12-05,Los Angeles Lakers @ Boston Celtics,Austin Reaves,REB,5.5,Under,-106,FanDuel,True
2025-12-05,Los Angeles Lakers @ Boston Celtics,Jaylen Brown,REB,6.5,Over,112,FanDuel,True
2025-12-05,Los Angeles Lakers @ Boston Celtics,Jaylen Brown,REB,6.5,Under,-148,FanDuel,False
2025-12-05,Los Angeles Lakers @ Boston Celtics,Payton Pritchard,REB,4.5,Over,134,FanDuel,True
2025-12-05,Los Angeles Lakers @ Boston Celtics,Payton Pritchard,REB,4.5,Under,-180,FanDuel,False
2025-12-05,Los Angeles Lakers @ Boston Celtics,Deandre Ayton,REB,10.5,Over,102,FanDuel,True
2025-12-05,Los Angeles Lakers @ Boston Celtics,Deandre Ayton,REB,10.5,Under,-136,FanDuel,False
2025-12-05,Los Angeles Lakers @ Boston Celtics,Derrick White,REB,3.5,Over,-162,FanDuel,True
2025-12-05,Los Angeles Lakers @ Boston Celtics,Derrick White,REB,3.5,Under,122,FanDuel,True
2025-12-05,Los Angeles Lakers @ Boston Celtics,Marcus Smart,REB,2.5,Over,-130,FanDuel,True
2025-12-05,Los Angeles Lakers @ Boston Celtics,Marcus Smart,REB,2.5,Under,-102,FanDuel,True
2025-12-05,Los Angeles Lakers @ Boston Celtics,Neemias Queta,REB,8.5,Over,-152,FanDuel,True
2025-12-05,Los Angeles Lakers @ Boston Celtics,Neemias Queta,REB,8.5,Under,114,FanDuel,True
2025-12-05,Los Angeles Lakers @ Boston Celtics,Rui Hachimura,REB,4.5,Over,122,FanDuel,True
2025-12-05,Los Angeles Lakers @ Boston Celtics,Rui Hachimura,REB,4.5,Under,-162,FanDuel,False
2025-12-05,Los Angeles Lakers @ Boston Celtics,Jordan Walsh,REB,5.5,Over,128,FanDuel,True
2025-12-05,Los Angeles Lakers @ Boston Celtics,Jordan Walsh,REB,5.5,Under,-172,FanDuel,False
2025-12-05,Los Angeles Lakers @ Boston Celtics,Jake LaRavia,REB,5.5,Over,110,FanDuel,True
2025-12-05,Los Angeles Lakers @ Boston Celtics,Jake LaRavia,REB,5.5,Under,-146,FanDuel,True
2025-12-05,Los Angeles Lakers @ Boston Celtics,Deandre Ayton,REB,10.5,Over,-107,DraftKings,False
2025-12-05,Los Angeles Lakers @ Boston Celtics,Deandre Ayton,REB,10.5,Under,-123,DraftKings,True
2025-12-05,Los Angeles Lakers @ Boston Celtics,Neemias Queta,REB,9.5,Over,103,DraftKings,True
