player,team,position,opponent,stat,opp_dvp_value,tier,edge_score,,,,,
Cade Cunningham,DET,PG,BOS,PTS,19.1,BEST,-1,,,alt,,
Cade Cunningham,DET,PG,BOS,REB,5.4,BEST,-1,,,,,
Cade Cunningham,DET,PG,BOS,PRA,33.1,BEST,-1,,,alt,,
Derrick White,BOS,PG,DET,AST,6.9,BEST,-1,,,,,
Duncan Robinson,DET,SG,BOS,REB,7.5,WORST,1,o2.5,-105,,0.525,
Ausar Thompson,DET,SF,BOS,REB,9,WORST,1,,,,,
Ausar Thompson,DET,SF,BOS,AST,3.2,BEST,-1,,,,,
Jaylen Brown,BOS,SF,DET,PTS,19.3,BEST,-1,,,alt,,
Jaylen Brown,BOS,SF,DET,AST,3.6,BEST,-1,,,,,
Jaylen Brown,BOS,SF,DET,PRA,29.8,BEST,-1,,,alt,,
Tobias Harris,DET,PF,BOS,REB,9,BEST,-1,u4.5,-115,,,
Tobias Harris,DET,PF,BOS,AST,3.2,BEST,-1,,,,,
Luka Garza,BOS,C,DET,REB,12.9,BEST,-1,u5.5,115,,0.435,
Luka Garza,BOS,C,DET,PRA,36.3,BEST,-1,u16.5,-125,,0.66,
Mikal Bridges,NYK,SF,CHA,REB,6.2,BEST,-1,,,,,
Karl-Anthony Towns,NYK,PF,CHA,REB,8.9,BEST,-1,,,alt u15.5,,
Karl-Anthony Towns,NYK,PF,CHA,AST,5.6,WORST,1,o2.5,-135,alt 2+,0.675,
Mitchell Robinson Off Inj,NYK,C,CHA,PTS,24.6,WORST,1,o4.5,-105,,0.525,
Mitchell Robinson Off Inj,NYK,C,CHA,REB,11.9,BEST,-1,,,,,
Donte DiVincenzo,MIN,PG,OKC,PTS,19.8,BEST,-1,,,,,
Donte DiVincenzo,MIN,PG,OKC,AST,7.1,BEST,-1,,,,,
Donte DiVincenzo,MIN,PG,OKC,PRA,33.4,BEST,-1,,,,,
Shai Gilgeous-Alexander,OKC,PG,MIN,REB,7.9,WORST,1,o4.5,100,,1,
Shai Gilgeous-Alexander,OKC,PG,MIN,AST,9.2,WORST,1,o6.5,-130,alt 9+ RA,,
Anthony Edwards,MIN,SG,OKC,PTS,22.4,BEST,-1,,,,,
Anthony Edwards,MIN,SG,OKC,AST,4.1,BEST,-1,u4.5,-116,alt u6.5,,
Anthony Edwards,MIN,SG,OKC,PRA,33.1,BEST,-1,,,,,
Cason Wallace,OKC,SG,MIN,REB,5.5,BEST,-1,u2.5,102,,0.75,action
Cason Wallace,OKC,SG,MIN,PRA,33.3,BEST,-1,,,alt u20,,
Jaden McDaniels,MIN,SF,OKC,PTS,20.4,BEST,-1,,,,,
Julius Randle,MIN,PF,OKC,PTS,21,BEST,-1,u21.5,-118,,0.69,
Chet Holmgren,OKC,PF,MIN,AST,3.2,BEST,-1,,,,,
Rudy Gobert,MIN,C,OKC,PTS,18.9,BEST,-1,,,,,
Rudy Gobert,MIN,C,OKC,REB,12.5,BEST,-1,,,,,
Rudy Gobert,MIN,C,OKC,AST,3.1,BEST,-1,,,,,
Rudy Gobert,MIN,C,OKC,PRA,34.5,BEST,-1,,,,,
Ryan Rollins,MIL,PG,MIA,REB,7.4,WORST,1,o3.5,-130,,1.25,
Tyler Herro,MIA,PG,MIL,PTS,28.2,WORST,1,o19.5,-125,,1,
Tyler Herro,MIA,PG,MIL,REB,7.3,WORST,1,o4.5,128,,0.75,
Tyler Herro,MIA,PG,MIL,PRA,44.2,WORST,1,,,alt,,
AJ Green,MIL,SG,MIA,REB,7.4,WORST,1,,,,,
AJ Green,MIL,SG,MIA,AST,6,WORST,1,o4.5 RA,118,,0.75,
Norman Powell,MIA,SG,MIL,AST,4.7,BEST,-1,,,,,
Pelle Larsson,MIA,SF,MIL,PTS,24.5,WORST,1,o8.5,-107,alt 5+,,
Pelle Larsson,MIA,SF,MIL,PRA,37.8,WORST,1,o14.5,-115,alt 10+,1,
Giannis Antetokounmpo,MIL,PF,MIA,PTS,25.6,WORST,1,,,,,
Giannis Antetokounmpo,MIL,PF,MIA,REB,12,WORST,1,,,,,
Giannis Antetokounmpo,MIL,PF,MIA,AST,3.2,BEST,-1,,,,,
Giannis Antetokounmpo,MIL,PF,MIA,PRA,40.8,WORST,1,,,,,
Myles Turner,MIL,C,MIA,REB,16.8,WORST,1,o6.5,-130,,,
Immanuel Quickley,TOR,PG,IND,PTS,26.8,WORST,1,,,,,
Immanuel Quickley,TOR,PG,IND,REB,7.2,WORST,1,o4.5,120,,0.75,
Immanuel Quickley,TOR,PG,IND,PRA,42.8,WORST,1,,,alt 22+,,
Bennedict Mathurin,IND,SG,TOR,PTS,22.4,BEST,-1,u21.5,-115,,0.69,
Ja'Kobe Walter,TOR,SG,IND,AST,4.8,BEST,-1,,,,,
Brandon Ingram,TOR,SF,IND,PRA,36.9,WORST,1,o33.5,-115,,,
Jakob Poeltl,TOR,C,IND,PTS,25.2,WORST,1,,,,,
Jakob Poeltl,TOR,C,IND,REB,16.7,WORST,1,,,alt 7+,,
Jakob Poeltl,TOR,C,IND,PRA,46.1,WORST,1,o21.5 PR,-118,,1,
Jeremiah Fears,NOR,PG,MEM,PTS,28.5,WORST,1,o14.5,-110,alt 10+,1.5,
Jeremiah Fears,NOR,PG,MEM,PRA,42.7,WORST,1,,,alt 15+,,
Trey Murphy,NOR,SG,MEM,AST,4.6,BEST,-1,,,,,
Saddiq Bey,NOR,SF,MEM,AST,5.2,WORST,1,o2.5,116,,,
Zion Williamson,NOR,PF,MEM,PTS,19.5,BEST,-1,u22.5,-115,,1,
Derik Queen,NOR,C,MEM,AST,4.7,WORST,1,,,,,
De'Aaron Fox,SAS,PG,POR,AST,6.8,BEST,-1,,,,,
Devin Vassell,SAS,SG,POR,AST,6,WORST,1,,,,,
Julian Champagnie,SAS,SF,POR,REB,9.3,WORST,1,,,,,
Jordan Goodwin,PHO,SG,SAC,REB,7.2,WORST,1,,,,,
Jordan Goodwin,PHO,SG,SAC,AST,7.5,WORST,1,,,,,
Jordan Goodwin,PHO,SG,SAC,PRA,40.7,WORST,1,o18.5,-110,alt 10+,,
Zach LaVine,SAC,SG,PHO,PTS,26.3,WORST,1,,,,,
Dillon Brooks,PHO,SF,SAC,PTS,20.1,BEST,-1,,,,,
Dillon Brooks,PHO,SF,SAC,AST,3.1,BEST,-1,,,,,
Dillon Brooks,PHO,SF,SAC,PRA,30.9,BEST,-1,,,,,
DeMar DeRozan,SAC,SF,PHO,PTS,20.5,BEST,-1,u18.5,-125,,1,
Royce O'Neale,PHO,PF,SAC,AST,5,WORST,1,,,,,
Keegan Murray,SAC,PF,PHO,AST,3.6,BEST,-1,,,,,
Keegan Murray,SAC,PF,PHO,PRA,34.7,BEST,-1,,,,,
Mark Williams Off Inj,PHO,C,SAC,PTS,26.4,WORST,1,o12.5,-115,,0.69,
Mark Williams Off Inj,PHO,C,SAC,PRA,47,WORST,1,,,,,
Stephen Curry,GSW,PG,HOU,AST,7.6,BEST,-1,,,,,
Stephen Curry,GSW,PG,HOU,PRA,36.3,BEST,-1,,,,,
Moses Moody,GSW,SG,HOU,PTS,20.6,BEST,-1,u11.5,-106,,,
Moses Moody,GSW,SG,HOU,REB,5.2,BEST,-1,,,,,
Moses Moody,GSW,SG,HOU,PRA,31.3,BEST,-1,u16.5,-110,,1.25,
Jimmy Butler,GSW,PF,HOU,PTS,20.8,BEST,-1,,,,,
Jimmy Butler,GSW,PF,HOU,REB,8.7,BEST,-1,,,,,
Jimmy Butler,GSW,PF,HOU,AST,3.1,BEST,-1,,,,,
Jimmy Butler,GSW,PF,HOU,PRA,32.6,BEST,-1,,,,,
Draymond Green,GSW,C,HOU,REB,11.3,BEST,-1,,,,,
Draymond Green,GSW,C,HOU,AST,3.2,BEST,-1,,,,,
Draymond Green,GSW,C,HOU,PRA,34.9,BEST,-1,,,,,
