player,team,position,opponent,stat,opp_dvp_value,tier,edge_score,,,,
C.J. McCollum,WAS,PG,IND,REB,7.1,WORST,1,,,,
C.J. McCollum,WAS,PG,IND,PRA,42,WORST,1,o25.5,-110,alt 20+,1
Andrew Nembhard,IND,PG,WAS,PTS,26.6,WORST,1,o17.5,-115,alt 14+,
Andrew Nembhard,IND,PG,WAS,AST,8.9,WORST,1,o6.5,-140,alt 4+,
Andrew Nembhard,IND,PG,WAS,PRA,42.3,WORST,1,,,,
Bilal Coulibaly,WAS,SG,IND,AST,4.7,BEST,-1,,,,
Khris Middleton,WAS,SF,IND,PTS,24.4,WORST,1,,,,
Khris Middleton,WAS,SF,IND,PRA,37.6,WORST,1,,,,
Jarace Walker,IND,SF,WAS,PTS,24.4,WORST,1,,,alt 8+,
Jarace Walker,IND,SF,WAS,REB,9,WORST,1,,,,
Jarace Walker,IND,SF,WAS,PRA,37.7,WORST,1,,,,
Pascal Siakam,IND,PF,WAS,PTS,26.3,WORST,1,o24.5,-122,alt 19+,
Pascal Siakam,IND,PF,WAS,REB,13.3,WORST,1,,,,
Pascal Siakam,IND,PF,WAS,AST,5.2,WORST,1,,,,
Pascal Siakam,IND,PF,WAS,PRA,44.8,WORST,1,,,,
Alexandre Sarr,WAS,C,IND,PTS,24.6,WORST,1,o19.5,-102,,
Alexandre Sarr,WAS,C,IND,REB,16.5,WORST,1,o9.5,107,,0.75
Alexandre Sarr,WAS,C,IND,PRA,45.3,WORST,1,o31.5,-117,alt 25+,
Isaiah Jackson,IND,C,WAS,PTS,27.2,WORST,1,,,,
Isaiah Jackson,IND,C,WAS,REB,17.5,WORST,1,,,,
Isaiah Jackson,IND,C,WAS,AST,4.9,WORST,1,,,,
Isaiah Jackson,IND,C,WAS,PRA,49.6,WORST,1,,,,
Kon Knueppel,CHA,SG,CHI,PTS,20.8,BEST,-1,,,,
Kon Knueppel,CHA,SG,CHI,REB,5.5,BEST,-1,,,,
Kon Knueppel,CHA,SG,CHI,PRA,31.4,BEST,-1,,,,
Ayo Dosunmu,CHI,SF,CHA,REB,6.4,BEST,-1,,,,
Matas Buzelis,CHI,PF,CHA,AST,5.6,WORST,1,o0.5,-220,alt,
Miles Bridges,CHA,PF,CHI,PTS,30.2,WORST,1,o18.5,-125,alt 15+,1
Miles Bridges,CHA,PF,CHI,REB,13.1,WORST,1,,,,
Miles Bridges,CHA,PF,CHI,PRA,47.7,WORST,1,o28.5,-120,alt 24+,0.75
Nikola Vucevic,CHI,C,CHA,REB,12,BEST,-1,u9.5,-120,alt u13.5,0.6
Ryan Kalkbrenner,CHA,C,CHI,PTS,24.6,WORST,1,o8.5,103,alt 7+,1
Ryan Kalkbrenner,CHA,C,CHI,REB,16.9,WORST,1,o6.5,-128,alt 5+,
Ryan Kalkbrenner,CHA,C,CHI,AST,4.7,WORST,1,,,,
Ryan Kalkbrenner,CHA,C,CHI,PRA,46.2,WORST,1,o15.5,-120,alt 13+,
Tyrese Maxey,PHI,PG,BKN,AST,9.2,WORST,1,,,alt 6+,
Egor Demin,BKN,PG,PHI,PTS,20.3,BEST,-1,u10.5,-107,alt u16.5,
Egor Demin,BKN,PG,PHI,PRA,34.7,BEST,-1,u19.5,-127,alt u25.5,1
Quentin Grimes,PHI,SG,BKN,REB,5.6,BEST,-1,u4.5,110,,0.909
Quentin Grimes,PHI,SG,BKN,AST,6.1,WORST,1,,,,
