date,game_time,away_team,home_team,fav,spread,total,team,opp,home_away,position,player,status
2025-11-26,5:00 PM ET,DET,BOS,DET,2.5,229.5,DET,BOS,A,PG,Cade Cunningham,
2025-11-26,5:00 PM ET,DET,BOS,DET,2.5,229.5,BOS,DET,H,PG,Derrick White,
2025-11-26,5:00 PM ET,DET,BOS,DET,2.5,229.5,DET,BOS,A,SG,Duncan Robinson,
2025-11-26,5:00 PM ET,DET,BOS,DET,2.5,229.5,BOS,DET,H,SG,Payton Pritchard,
2025-11-26,5:00 PM ET,DET,BOS,DET,2.5,229.5,DET,BOS,A,SF,Ausar Thompson,
2025-11-26,5:00 PM ET,DET,BOS,DET,2.5,229.5,BOS,DET,H,SF,Jaylen Brown,
2025-11-26,5:00 PM ET,DET,BOS,DET,2.5,229.5,DET,BOS,A,PF,Tobias Harris,
2025-11-26,5:00 PM ET,DET,BOS,DET,2.5,229.5,BOS,DET,H,PF,Jordan Walsh,
2025-11-26,5:00 PM ET,DET,BOS,DET,2.5,229.5,DET,BOS,A,C,Jalen Duren,
2025-11-26,5:00 PM ET,DET,BOS,DET,2.5,229.5,BOS,DET,H,C,Luka Garza,
2025-11-26,7:00 PM ET,NYK,CHA,NYK,6.5,238.5,NYK,CHA,A,PG,Jalen Brunson,
2025-11-26,7:00 PM ET,NYK,CHA,NYK,6.5,238.5,CHA,NYK,H,PG,LaMelo Ball Off Inj,
2025-11-26,7:00 PM ET,NYK,CHA,NYK,6.5,238.5,NYK,CHA,A,SG,Miles McBride,
2025-11-26,7:00 PM ET,NYK,CHA,NYK,6.5,238.5,CHA,NYK,H,SG,Kon Knueppel,
2025-11-26,7:00 PM ET,NYK,CHA,NYK,6.5,238.5,NYK,CHA,A,SF,Mikal Bridges,
2025-11-26,7:00 PM ET,NYK,CHA,NYK,6.5,238.5,CHA,NYK,H,SF,Brandon Miller Off Inj,
2025-11-26,7:00 PM ET,NYK,CHA,NYK,6.5,238.5,NYK,CHA,A,PF,Karl-Anthony Towns,
2025-11-26,7:00 PM ET,NYK,CHA,NYK,6.5,238.5,CHA,NYK,H,PF,Miles Bridges,
2025-11-26,7:00 PM ET,NYK,CHA,NYK,6.5,238.5,NYK,CHA,A,C,Mitchell Robinson Off Inj,
2025-11-26,7:00 PM ET,NYK,CHA,NYK,6.5,238.5,CHA,NYK,H,C,Ryan Kalkbrenner Off Inj,
2025-11-26,7:30 PM ET,MIN,OKC,OKC,8.5,227.0,MIN,OKC,A,PG,Donte DiVincenzo,
2025-11-26,7:30 PM ET,MIN,OKC,OKC,8.5,227.0,OKC,MIN,H,PG,Shai Gilgeous-Alexander,Q
2025-11-26,7:30 PM ET,MIN,OKC,OKC,8.5,227.0,MIN,OKC,A,SG,Anthony Edwards,
2025-11-26,7:30 PM ET,MIN,OKC,OKC,8.5,227.0,OKC,MIN,H,SG,Cason Wallace,
2025-11-26,7:30 PM ET,MIN,OKC,OKC,8.5,227.0,MIN,OKC,A,SF,Jaden McDaniels,
2025-11-26,7:30 PM ET,MIN,OKC,OKC,8.5,227.0,OKC,MIN,H,SF,Luguentz Dort,
2025-11-26,7:30 PM ET,MIN,OKC,OKC,8.5,227.0,MIN,OKC,A,PF,Julius Randle,
2025-11-26,7:30 PM ET,MIN,OKC,OKC,8.5,227.0,OKC,MIN,H,PF,Chet Holmgren,
2025-11-26,7:30 PM ET,MIN,OKC,OKC,8.5,227.0,MIN,OKC,A,C,Rudy Gobert,
2025-11-26,7:30 PM ET,MIN,OKC,OKC,8.5,227.0,OKC,MIN,H,C,Isaiah Hartenstein,
2025-11-26,7:30 PM ET,MIL,MIA,MIA,7.5,237.0,MIL,MIA,A,PG,Ryan Rollins,
2025-11-26,7:30 PM ET,MIL,MIA,MIA,7.5,237.0,MIA,MIL,H,PG,Tyler Herro,IN
2025-11-26,7:30 PM ET,MIL,MIA,MIA,7.5,237.0,MIL,MIA,A,SG,AJ Green,
2025-11-26,7:30 PM ET,MIL,MIA,MIA,7.5,237.0,MIA,MIL,H,SG,Norman Powell,P
2025-11-26,7:30 PM ET,MIL,MIA,MIA,7.5,237.0,MIL,MIA,A,SF,Kyle Kuzma,
2025-11-26,7:30 PM ET,MIL,MIA,MIA,7.5,237.0,MIA,MIL,H,SF,Pelle Larsson,
2025-11-26,7:30 PM ET,MIL,MIA,MIA,7.5,237.0,MIL,MIA,A,PF,Giannis Antetokounmpo,Q
2025-11-26,7:30 PM ET,MIL,MIA,MIA,7.5,237.0,MIA,MIL,H,PF,Andrew Wiggins,Q
2025-11-26,7:30 PM ET,MIL,MIA,MIA,7.5,237.0,MIL,MIA,A,C,Myles Turner,
2025-11-26,7:30 PM ET,MIL,MIA,MIA,7.5,237.0,MIA,MIL,H,C,Bam Adebayo,
2025-11-26,7:30 PM ET,IND,TOR,TOR,9.5,234.5,IND,TOR,A,PG,Andrew Nembhard,
2025-11-26,7:30 PM ET,IND,TOR,TOR,9.5,234.5,TOR,IND,H,PG,Immanuel Quickley,
2025-11-26,7:30 PM ET,IND,TOR,TOR,9.5,234.5,IND,TOR,A,SG,Bennedict Mathurin,
2025-11-26,7:30 PM ET,IND,TOR,TOR,9.5,234.5,TOR,IND,H,SG,Ja'Kobe Walter,
2025-11-26,7:30 PM ET,IND,TOR,TOR,9.5,234.5,IND,TOR,A,SF,Ben Sheppard,
2025-11-26,7:30 PM ET,IND,TOR,TOR,9.5,234.5,TOR,IND,H,SF,Brandon Ingram,
2025-11-26,7:30 PM ET,IND,TOR,TOR,9.5,234.5,IND,TOR,A,PF,Pascal Siakam,
2025-11-26,7:30 PM ET,IND,TOR,TOR,9.5,234.5,TOR,IND,H,PF,Scottie Barnes,
2025-11-26,7:30 PM ET,IND,TOR,TOR,9.5,234.5,IND,TOR,A,C,Isaiah Jackson,
2025-11-26,7:30 PM ET,IND,TOR,TOR,9.5,234.5,TOR,IND,H,C,Jakob Poeltl,
2025-11-26,8:00 PM ET,MEM,NOR,MEM,1.5,235.0,MEM,NOR,A,PG,Vince Williams Jr.,
2025-11-26,8:00 PM ET,MEM,NOR,MEM,1.5,235.0,NOR,MEM,H,PG,Jeremiah Fears,
2025-11-26,8:00 PM ET,MEM,NOR,MEM,1.5,235.0,MEM,NOR,A,SG,Jaylen Wells,
2025-11-26,8:00 PM ET,MEM,NOR,MEM,1.5,235.0,NOR,MEM,H,SG,Trey Murphy,
2025-11-26,8:00 PM ET,MEM,NOR,MEM,1.5,235.0,MEM,NOR,A,SF,Cedric Coward,
2025-11-26,8:00 PM ET,MEM,NOR,MEM,1.5,235.0,NOR,MEM,H,SF,Saddiq Bey,
2025-11-26,8:00 PM ET,MEM,NOR,MEM,1.5,235.0,MEM,NOR,A,PF,Jaren Jackson Jr.,
2025-11-26,8:00 PM ET,MEM,NOR,MEM,1.5,235.0,NOR,MEM,H,PF,Zion Williamson,
2025-11-26,8:00 PM ET,MEM,NOR,MEM,1.5,235.0,MEM,NOR,A,C,Zach Edey,Q
2025-11-26,8:00 PM ET,MEM,NOR,MEM,1.5,235.0,NOR,MEM,H,C,Derik Queen,
2025-11-26,10:00 PM ET,SAS,POR,POR,2.0,239.0,SAS,POR,A,PG,De'Aaron Fox,
2025-11-26,10:00 PM ET,SAS,POR,POR,2.0,239.0,POR,SAS,H,PG,Deni Avdija,
2025-11-26,10:00 PM ET,SAS,POR,POR,2.0,239.0,SAS,POR,A,SG,Devin Vassell,
2025-11-26,10:00 PM ET,SAS,POR,POR,2.0,239.0,POR,SAS,H,SG,Shaedon Sharpe,Q
2025-11-26,10:00 PM ET,SAS,POR,POR,2.0,239.0,SAS,POR,A,SF,Julian Champagnie,
2025-11-26,10:00 PM ET,SAS,POR,POR,2.0,239.0,POR,SAS,H,SF,Toumani Camara,
2025-11-26,10:00 PM ET,SAS,POR,POR,2.0,239.0,SAS,POR,A,PF,Harrison Barnes,
2025-11-26,10:00 PM ET,SAS,POR,POR,2.0,239.0,POR,SAS,H,PF,Jerami Grant,
2025-11-26,10:00 PM ET,SAS,POR,POR,2.0,239.0,SAS,POR,A,C,Luke Kornet,
2025-11-26,10:00 PM ET,SAS,POR,POR,2.0,239.0,POR,SAS,H,C,Donovan Clingan,
2025-11-26,10:00 PM ET,PHO,SAC,PHO,4.0,234.0,PHO,SAC,A,PG,Devin Booker,
2025-11-26,10:00 PM ET,PHO,SAC,PHO,4.0,234.0,SAC,PHO,H,PG,Russell Westbrook,
2025-11-26,10:00 PM ET,PHO,SAC,PHO,4.0,234.0,PHO,SAC,A,SG,Jordan Goodwin,
2025-11-26,10:00 PM ET,PHO,SAC,PHO,4.0,234.0,SAC,PHO,H,SG,Zach LaVine,
2025-11-26,10:00 PM ET,PHO,SAC,PHO,4.0,234.0,PHO,SAC,A,SF,Dillon Brooks,
2025-11-26,10:00 PM ET,PHO,SAC,PHO,4.0,234.0,SAC,PHO,H,SF,DeMar DeRozan,
2025-11-26,10:00 PM ET,PHO,SAC,PHO,4.0,234.0,PHO,SAC,A,PF,Royce O'Neale,
2025-11-26,10:00 PM ET,PHO,SAC,PHO,4.0,234.0,SAC,PHO,H,PF,Keegan Murray,
2025-11-26,10:00 PM ET,PHO,SAC,PHO,4.0,234.0,PHO,SAC,A,C,Mark Williams Off Inj,
2025-11-26,10:00 PM ET,PHO,SAC,PHO,4.0,234.0,SAC,PHO,H,C,Drew Eubanks,
2025-11-26,10:00 PM ET,HOU,GSW,GSW,1.5,224.5,HOU,GSW,A,PG,Reed Sheppard,
2025-11-26,10:00 PM ET,HOU,GSW,GSW,1.5,224.5,GSW,HOU,H,PG,Stephen Curry,
2025-11-26,10:00 PM ET,HOU,GSW,GSW,1.5,224.5,HOU,GSW,A,SG,Amen Thompson,
