date_local,time_local,away,home,network,spread,over_under,ml_home,ml_away,game_id
2025-11-24,10:00 PM,MIN,SAC,"FanDuel SN North, NBC Sports CA",MIN -9.5,O/U 237.5,320,-425,401810147
2025-11-24,10:00 PM,UTAH,GS,"NBC Sports BA, KJZZ-TV",GS -14.5,O/U 240.5,-900,550,401810146
2025-11-24,7:00 PM,CLE,TOR,"Peacock, FanDuel SN OH, Sportsnet",CLE -2.5,O/U 235.5,115,-135,401810139
2025-11-24,7:00 PM,DET,IND,"FanDuel SN IN, FanDuel SN DET",DET -10.5,O/U 235.5,380,-550,401810138
2025-11-24,7:30 PM,DAL,MIA,"FanDuel SN Sun, KFAA-TV",MIA -8.5,O/U 240.5,-340,270,401810141
2025-11-24,7:30 PM,NY,BKN,"YES, MSG",NY -13.5,O/U 228.5,600,-1000,401810140
2025-11-24,8:00 PM,CHI,NO,"CHSN, GCSEN",CHI -5.5,O/U 244.5,180,-215,401810144
2025-11-24,8:00 PM,DEN,MEM,"FanDuel SN SE, Altitude Sports",DEN -7.5,O/U 233.5,270,-340,401810142
2025-11-24,8:00 PM,POR,MIL,"KUNP 16, FanDuel SN WI",MIL -1.5,O/U 231.5,-120,100,401810143
2025-11-24,9:30 PM,HOU,PHX,Peacock,HOU -6.5,O/U 223.5,200,-240,401810145
